# Mari Carmen
# E (MeV), Z (cm), I (nA), codFiltro, numSpots
3.00, 7.00, 1.000, PP25, 231
# X (cm), Y (cm), Q (pC)
-1.00, -2.00, 1.000000
-1.00, -1.80, 1.000000
-1.00, -1.60, 1.000000
-1.00, -1.40, 1.000000
-1.00, -1.20, 1.000000
-1.00, -1.00, 1.000000
-1.00, -0.80, 1.000000
-1.00, -0.60, 1.000000
-1.00, -0.40, 1.000000
-1.00, -0.20, 1.000000
-1.00, 0.00, 1.000000
-1.00, 0.20, 1.000000
-1.00, 0.40, 1.000000
-1.00, 0.60, 1.000000
-1.00, 0.80, 1.000000
-1.00, 1.00, 1.000000
-1.00, 1.20, 1.000000
-1.00, 1.40, 1.000000
-1.00, 1.60, 1.000000
-1.00, 1.80, 1.000000
-1.00, 2.00, 1.000000
-0.80, -2.00, 1.000000
-0.80, -1.80, 1.000000
-0.80, -1.60, 1.000000
-0.80, -1.40, 1.000000
-0.80, -1.20, 1.000000
-0.80, -1.00, 1.000000
-0.80, -0.80, 1.000000
-0.80, -0.60, 1.000000
-0.80, -0.40, 1.000000
-0.80, -0.20, 1.000000
-0.80, 0.00, 1.000000
-0.80, 0.20, 1.000000
-0.80, 0.40, 1.000000
-0.80, 0.60, 1.000000
-0.80, 0.80, 1.000000
-0.80, 1.00, 1.000000
-0.80, 1.20, 1.000000
-0.80, 1.40, 1.000000
-0.80, 1.60, 1.000000
-0.80, 1.80, 1.000000
-0.80, 2.00, 1.000000
-0.60, -2.00, 1.000000
-0.60, -1.80, 1.000000
-0.60, -1.60, 1.000000
-0.60, -1.40, 1.000000
-0.60, -1.20, 1.000000
-0.60, -1.00, 1.000000
-0.60, -0.80, 1.000000
-0.60, -0.60, 1.000000
-0.60, -0.40, 1.000000
-0.60, -0.20, 1.000000
-0.60, 0.00, 1.000000
-0.60, 0.20, 1.000000
-0.60, 0.40, 1.000000
-0.60, 0.60, 1.000000
-0.60, 0.80, 1.000000
-0.60, 1.00, 1.000000
-0.60, 1.20, 1.000000
-0.60, 1.40, 1.000000
-0.60, 1.60, 1.000000
-0.60, 1.80, 1.000000
-0.60, 2.00, 1.000000
-0.40, -2.00, 1.000000
-0.40, -1.80, 1.000000
-0.40, -1.60, 1.000000
-0.40, -1.40, 1.000000
-0.40, -1.20, 1.000000
-0.40, -1.00, 1.000000
-0.40, -0.80, 1.000000
-0.40, -0.60, 1.000000
-0.40, -0.40, 1.000000
-0.40, -0.20, 1.000000
-0.40, 0.00, 1.000000
-0.40, 0.20, 1.000000
-0.40, 0.40, 1.000000
-0.40, 0.60, 1.000000
-0.40, 0.80, 1.000000
-0.40, 1.00, 1.000000
-0.40, 1.20, 1.000000
-0.40, 1.40, 1.000000
-0.40, 1.60, 1.000000
-0.40, 1.80, 1.000000
-0.40, 2.00, 1.000000
-0.20, -2.00, 1.000000
-0.20, -1.80, 1.000000
-0.20, -1.60, 1.000000
-0.20, -1.40, 1.000000
-0.20, -1.20, 1.000000
-0.20, -1.00, 1.000000
-0.20, -0.80, 1.000000
-0.20, -0.60, 1.000000
-0.20, -0.40, 1.000000
-0.20, -0.20, 1.000000
-0.20, 0.00, 1.000000
-0.20, 0.20, 1.000000
-0.20, 0.40, 1.000000
-0.20, 0.60, 1.000000
-0.20, 0.80, 1.000000
-0.20, 1.00, 1.000000
-0.20, 1.20, 1.000000
-0.20, 1.40, 1.000000
-0.20, 1.60, 1.000000
-0.20, 1.80, 1.000000
-0.20, 2.00, 1.000000
0.00, -2.00, 1.000000
0.00, -1.80, 1.000000
0.00, -1.60, 1.000000
0.00, -1.40, 1.000000
0.00, -1.20, 1.000000
0.00, -1.00, 1.000000
0.00, -0.80, 1.000000
0.00, -0.60, 1.000000
0.00, -0.40, 1.000000
0.00, -0.20, 1.000000
0.00, 0.00, 1.000000
0.00, 0.20, 1.000000
0.00, 0.40, 1.000000
0.00, 0.60, 1.000000
0.00, 0.80, 1.000000
0.00, 1.00, 1.000000
0.00, 1.20, 1.000000
0.00, 1.40, 1.000000
0.00, 1.60, 1.000000
